; Collection List
; Amiga conventions
; CollId, Filename , Width, Height, Pri, Depth, DiskNr, Length, Usage
; PC conventions
; CollId, Filename, Width, Height, ColorsBegin, ColorsEnd
; PC conventions Profidisk
; CollId, Filename, Width, Height, ColorsBegin, ColorsEnd, fromDisk
65,wohnung.ani,84,28,0,191,0
66,taxi,320,140,0,191,0
67,cludo,80,64,0,191,0
68,prison,80,64,0,191,0
69,whisky,80,96,0,191,0
70,spaziern,80,64,0,191,0
71,birthday,240,20,0,191,0
72,kuss,80,64,0,191,0
73,telephon,80,64,0,191,0
74,cracks,168,62,0,191,0
75,sleep.ani,240,64,0,191,0
76,cemetery,320,140,0,191,0
77,cemetery.ani,240,56,0,191,0
78,shampton,320,140,0,191,0
79,landmatt,72,76,0,191,0
80,family,96,95,0,191,0
81,theend,112,24,0,191,0
82,shampto2,320,140,0,191,0
83,rezeptio,320,140,0,191,0
84,rezeptio.ani,320,60,0,191,0
85,cadillac,224,66,0,191,0
86,jeep,144,86,0,191,0
87,triumph,168,69,0,191,0
88,opel,176,68,0,191,0
89,standard,168,69,0,191,0
90,jaguar,176,69,0,191,0
91,pontiac,216,78,0,191,0
92,fiat,160,71,0,191,0
93,morris,176,78,0,191,0
94,marcsmih,320,140,0,191,0
95,explosi1.ani,320,128,0,191,0
96,explosi2.ani,320,64,0,191,0
97,rep.ani,240,128,0,191,0
98,lack.ani,240,128,0,191,0
99,faces1,310,134,192,223,0
100,faces2,186,67,192,223,0
101,faces3,248,134,192,223,0
102,faces4,310,134,192,223,0
103,faces5,124,67,192,223,0
104,faces6,124,67,192,223,0
105,faces7,248,134,192,223,0
106,faces8,248,67,192,223,0
107,faces9,248,67,192,223,0
108,faces10,248,67,192,223,0
109,tools1,186,134,192,223,0
110,tools2,310,134,192,223,0
111,tools3,248,134,192,223,0
112,tools4,248,67,192,223,0
113,objects1,186,67,192,223,0
114,objects2,186,134,192,223,0
115,objects3,124,67,192,223,0
116,objects4,310,134,192,223,0
117,objects5,310,67,192,223,0
118,objects6,62,67,192,223,0
119,objects7,62,67,192,223,0
120,objects8,124,67,192,223,0
121,objects9,62,67,192,223,0
122,object10,124,67,192,223,0
123,object11,62,67,192,223,0
124,object12,62,67,192,223,0
125,object13,62,67,192,223,0
126,object14,62,67,192,223,0
127,object15,62,67,192,223,0
128,menu,320,120,192,246,0
129,bubble,264,133,224,227,0
130,coming,320,140,0,191,0
131,bahnhof,320,140,0,191,0
132,bahnhof.ani,198,72,0,191,0
133,mattbart,62,67,192,223,0
134,tools5,186,67,192,223,0
135,funk,62,67,192,223,0
136,organisa,320,140,0,191,0
137,allmaxi,320,182,128,191,0
138,leer,0,0,0,0,0
139,boden1,320,32,0,0,0
140,boden0,320,32,0,0,0
141,objecte1,320,192,0,127,0
142,objecte2,288,192,0,127,0
143,objecte3,288,32,0,127,0
144,objecte4,288,144,0,127,0
145,objecte5,320,32,0,127,0
146,objecte1,320,192,0,127,0
147,action,320,140,0,255,0
148,automap,320,140,0,191,0
149,dart,124,124,0,191,0
; added cars
150,bentley.car,208,68,0,191,1
151,fiat.car,242,124,0,191,1
152,ford.car,152,80,0,191,1
153,rover.car,168,80,0,191,1
;added persons
154,faces11,310,134,192,223,1
; added outside
155,sky21,320,140,0,191,1
156,sky22,318,138,0,191,1
157,sky23,316,140,0,191,1
158,sky24,320,140,0,191,1
159,sky25,320,140,0,191,1
160,sky26,320,140,0,191,1
161,sky27,320,140,0,191,1
162,sky28,320,140,0,191,1
; added outside anim
163,sky21.ani,192,40,0,191,1
164,sky22.ani,280,44,0,191,1
165,sky23.ani,192,26,0,191,1
166,sky24.ani,192,70,0,191,1
167,sky25.ani,200,70,0,191,1
168,sky26.ani,96,22,0,191,1
169,sky27.ani,160,44,0,191,1
170,sky28.ani,160,58,0,191,1
; added loot
171,object16,186,67,192,223,1
172,object17,62,67,192,223,1
; added inside
173,abbey.obj,320,192,0,127,1
174,tuss.obj,320,192,0,127,1
175,train.obj,320,192,0,127,1
176,bull.obj,320,192,0,127,1
177,train48.obj,288,48,0,127,1
; added ground
178,boden2,320,32,0,0,1
179,boden3,160,32,0,0,1

